year,K,I,P,Q,Q_eff,D,shortage,tight,cover,shock_export_restriction,shock_demand_surge,shock_capex_shock,shock_stockpile_release
2024,108.695652,20.0,1.0,99.99999984,99.99999984,100.0,1.5999999902760464e-07,1.5999999902760465e-09,0.19999999840000002,0.0,0.0,0.0,0.0
2025,108.695652,19.99999984,1.000000002048,99.99999986226086,59.99999991735652,99.9999999488,40.00000003144348,0.4000000005192348,0.0,0.4,0.0,0.0,0.0
2026,108.69565202968116,0.0,1.5158858726047837,104.52173901851737,104.52173901851737,90.12252968661879,0.0,-0.15977369234938976,0.15977369234938976,0.0,0.0,0.0,0.0
2027,115.25526891458757,14.399209331898575,1.360006768068004,109.57882793395699,109.57882793395699,92.6007987036239,0.0,-0.18334646642382216,0.33884414607110436,0.0,0.0,0.0,0.0
2028,117.81074989825035,31.377238562231668,1.0987435646244184,109.49528208246878,109.49528208246878,97.67331187765811,0.0,-0.12103582828867747,0.44228262497284854,0.0,0.0,0.0,0.0
2029,117.81074989825035,43.199208767042336,0.8878459687815976,106.98444845555152,106.98444845555152,103.01858804376265,0.0,-0.03849655180775877,0.45783066992526944,0.0,0.0,0.0,0.0
2030,117.81074989825035,47.1650691788312,0.7607024679837999,105.16361306520211,105.16361306520211,107.077024340857,1.9134112756548802,0.01786948495658547,0.4226084744298391,0.0,0.0,0.0,0.0
2031,117.81074989825035,45.25165790317632,0.693454637457856,104.07319823634292,104.07319823634292,109.58358036302516,5.510382126682245,0.05028474255383533,0.36265721237470416,0.0,0.0,0.0,0.0
2032,117.81074989825035,39.74127577649408,0.6676994577177867,103.62731202266083,103.62731202266083,110.62537200271746,6.998059980056624,0.0632590865311144,0.2959828762938138,0.0,0.0,0.0,0.0
2033,117.81074989825035,32.743215796437454,0.6707346789015751,103.68074495401844,103.68074495401844,110.50000806098588,6.8192631069674405,0.06171278379639423,0.23460588957751358,0.0,0.0,0.0,0.0
2034,117.81074989825035,25.923952689470013,0.6930714160495389,104.06668590251027,104.06668590251027,109.59872529190045,5.532039389390178,0.05047539900355945,0.18605976708003588,0.0,0.0,0.0,0.0
2035,117.81074989825035,20.391913300079835,0.7264754413273523,104.62124031726682,104.62124031726682,108.31653673814847,3.695296420881647,0.03411571798879519,0.15414651706933438,0.0,0.0,0.0,0.0
