year,K,I,P,Q,Q_eff,D,shortage,tight,cover,shock_export_restriction,shock_demand_surge,shock_capex_shock,shock_stockpile_release,shock_policy_supply_mult,shock_capacity_supply_mult,shock_demand_destruction_mult
2000,108.695652,20.0,1.0,99.99999984,99.99999984,100.0,1.5999999902760464e-07,1.5999999902760465e-09,0.19999999840000002,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2001,108.695652,19.99999984,1.000000002048,99.99999986226086,99.99999986226086,99.9999999488,8.653913141642988e-08,8.653913146073793e-10,0.1999999976370087,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2002,108.69565202968116,19.99999975346087,1.000000003874549,99.99999990942132,99.99999990942132,99.99999990313628,0.0,-6.285034720980309e-11,0.19999999779118646,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2003,108.69565207594032,19.999999759745904,1.000000004884499,99.99999996295747,99.99999996295747,99.99999987788752,0.0,-8.506995651643448e-10,0.19999999869238358,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2004,108.69565212141671,19.99999984481586,1.0000000048315953,100.00000000422072,100.00000000422072,99.99999987921012,0.0,-1.2501060113302302e-09,0.19999999993984438,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2005,108.69565215096759,19.99999996982646,1.0000000038603853,100.00000002085089,100.00000002085089,99.99999990349036,0.0,-1.1736052851987126e-09,0.2000000010648892,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2006,108.69565215659267,20.00000008718699,1.0000000024103544,100.00000001026477,100.00000001026477,99.99999993974114,0.0,-7.052362609258639e-10,0.20000000169762389,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2007,108.69565215659267,20.000000157710616,1.000000001031306,99.99999999527512,99.99999999527512,99.99999997421735,0.0,-2.1057772420108018e-10,0.20000000183924918,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2008,108.69565215659267,20.00000017876839,0.9999999999800041,99.99999998384791,99.99999998384791,213.16000000106555,113.16000001721764,0.5308688310032462,0.0,0.0,0.46,0.0,0.0,1.0,1.0,1.46
2009,108.69565215659267,0.0,1.6831971742821439,105.65972894819167,105.65972894819167,52.67657165245527,0.0,-1.0058201517992456,1.0058201517992456,0.0,0.0,0.0,0.0,1.0,1.0,0.6
2010,117.08534507301141,52.9831572957364,0.5113225219192332,99.86496257064506,64.9122256709193,118.25683989560689,53.34461422468759,0.45109115271284433,0.0,0.0,0.0,0.0,0.0,0.65,1.0,1.0
2011,117.08534507301141,0.0,0.8074438133070031,105.21427494532725,68.38927871446272,105.49258201875433,37.103303304291614,0.3517148087028094,0.0,0.0,0.0,0.0,0.0,0.65,1.0,1.0
